Player,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_plus,TB,GDP,HBP,SH,SF,IBB
Ty_Cobb,1905,18,DET,AL,41,164,150,19,36,6,0,1,15,2,,10,23,0.24,0.288,0.3,0.588,86,45,,0,4,,
Ty_Cobb,1906,19,DET,AL,98,394,358,45,113,15,5,1,34,23,,19,40,0.316,0.355,0.394,0.749,132,141,,3,14,,
Ty_Cobb,1907,20,DET,AL,150,642,605,97,212,28,14,5,119,53,,24,55,0.35,0.38,0.468,0.848,167,283,,5,8,,
Ty_Cobb,1908,21,DET,AL,150,635,581,88,188,36,20,4,108,39,,34,42,0.324,0.367,0.475,0.842,169,276,,6,14,,
Ty_Cobb,1909,22,DET,AL,156,651,573,116,216,33,10,9,107,76,,48,45,0.377,0.431,0.517,0.947,193,296,,6,24,,
Ty_Cobb,1910,23,DET,AL,140,590,506,106,194,35,13,8,91,65,,64,46,0.383,0.456,0.551,1.008,206,279,,4,16,,
Ty_Cobb,1911,24,DET,AL,146,654,591,147,248,47,24,8,127,83,,44,43,0.42,0.467,0.621,1.088,196,367,,8,11,,
Ty_Cobb,1912,25,DET,AL,140,609,553,120,226,30,23,7,83,61,34,43,30,0.409,0.456,0.584,1.04,200,323,,5,8,,
Ty_Cobb,1913,26,DET,AL,122,501,428,70,167,18,16,4,67,51,,58,31,0.39,0.467,0.535,1.002,196,229,,4,11,,
Ty_Cobb,1914,27,DET,AL,98,415,345,69,127,22,11,2,57,35,17,57,22,0.368,0.466,0.513,0.979,190,177,,6,6,,
Ty_Cobb,1915,28,DET,AL,156,701,563,144,208,31,13,3,99,96,38,118,43,0.369,0.486,0.487,0.973,185,274,,10,9,,
Ty_Cobb,1916,29,DET,AL,145,637,542,113,201,31,10,5,68,68,24,78,39,0.371,0.452,0.493,0.944,179,267,,2,14,,
Ty_Cobb,1917,30,DET,AL,152,672,588,107,225,44,24,6,102,55,,61,34,0.383,0.444,0.57,1.014,209,335,,4,16,,
Ty_Cobb,1918,31,DET,AL,111,474,421,81,161,19,14,3,62,34,,41,21,0.382,0.44,0.515,0.955,194,217,,2,9,,
Ty_Cobb,1919,32,DET,AL,124,548,497,92,191,36,13,1,67,28,,38,22,0.384,0.429,0.515,0.944,166,256,,1,9,,
Ty_Cobb,1920,33,DET,AL,112,495,428,87,143,28,8,2,63,15,10,58,28,0.334,0.416,0.451,0.867,132,193,,2,7,,
Ty_Cobb,1921,34,DET,AL,128,582,507,124,197,37,16,12,101,22,15,56,19,0.389,0.452,0.596,1.048,166,302,,3,15,,
Ty_Cobb,1922,35,DET,AL,137,613,526,99,211,42,16,4,99,9,13,55,24,0.401,0.462,0.565,1.026,169,297,,4,27,,
Ty_Cobb,1923,36,DET,AL,145,648,556,103,189,40,7,6,88,9,10,66,14,0.34,0.413,0.469,0.882,134,261,,3,22,,
Ty_Cobb,1924,37,DET,AL,155,727,625,114,211,38,10,4,79,23,14,85,18,0.338,0.418,0.45,0.867,125,281,,1,15,,
Ty_Cobb,1925,38,DET,AL,121,492,415,97,157,31,12,12,102,13,9,65,12,0.378,0.468,0.598,1.066,171,248,,5,5,,
Ty_Cobb,1926,39,DET,AL,79,273,233,48,79,18,5,4,62,9,4,26,2,0.339,0.408,0.511,0.918,137,119,,1,13,,
Ty_Cobb,1927,40,PHA,AL,133,574,490,104,175,32,7,5,93,22,16,67,12,0.357,0.44,0.482,0.921,134,236,,5,12,,
Ty_Cobb,1928,41,PHA,AL,95,393,353,54,114,27,4,1,40,6,8,34,16,0.323,0.389,0.431,0.819,112,152,,4,2,,
