
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
1977 ★,32,TOT,NL,21,6,.778,2.58,33,33,0,19,7,0,261.1,199,78,75,19,66,6,196,0,1,7,1031,149,2.94,1.014,6.9,0.7,2.3,6.8,2.97,ASCYA-3MVP-25
1977,32,NYM,NL,7,3,.700,3.00,13,13,0,5,3,0,96.0,79,33,32,7,28,3,72,0,1,3,390,124,3.06,1.115,7.4,0.7,2.6,6.8,2.57,
1977,32,CIN,NL,14,3,.824,2.34,20,20,0,14,4,0,165.1,120,45,43,12,38,3,124,0,0,4,641,168,2.87,0.956,6.5,0.7,2.1,6.8,3.26,
1978 ★,33,CIN,NL,16,14,.533,2.88,36,36,0,8,1,0,259.2,218,97,83,26,89,11,226,0,1,6,1075,123,3.17,1.182,7.6,0.9,3.1,7.8,2.54,AS
1979,34,CIN,NL,16,6,.727,3.14,32,32,0,9,5,0,215.0,187,85,75,16,61,6,131,0,0,4,868,121,3.33,1.153,7.8,0.7,2.6,5.5,2.15,CYA-4MVP-21
1980,35,CIN,NL,10,8,.556,3.64,26,26,0,5,1,0,168.0,140,74,68,24,59,3,101,1,0,4,692,99,4.48,1.185,7.5,1.3,3.2,5.4,1.71,
1981 ★,36,CIN,NL,14,2,.875,2.54,23,23,0,6,1,0,166.1,120,51,47,10,66,8,87,3,0,5,671,140,3.58,1.118,6.5,0.5,3.6,4.7,1.32,ASCYA-2MVP-10
1982,37,CIN,NL,5,13,.278,5.50,21,21,0,0,0,0,111.1,136,75,68,14,44,4,62,3,0,3,501,67,4.50,1.617,11.0,1.1,3.6,5.0,1.41,
1983,38,NYM,NL,9,14,.391,3.55,34,34,0,5,2,0,231.0,201,104,91,18,86,5,135,4,0,10,962,103,3.77,1.242,7.8,0.7,3.4,5.3,1.57,
1984,39,CHW,AL,15,11,.577,3.95,34,33,1,10,4,0,236.2,216,108,104,27,61,3,131,2,0,5,978,105,3.94,1.170,8.2,1.0,2.3,5.0,2.15,
