
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
1997 ★,34,TOR,AL,21,7,.750,2.05,34,34,0,9,3,0,264.0,204,65,60,9,68,1,292,12,0,4,1044,222,2.25,1.030,7.0,0.3,2.3,10.0,4.29,ASCYA-1MVP-10
1998 ★,35,TOR,AL,20,6,.769,2.65,33,33,0,5,3,0,234.2,169,78,69,11,88,0,271,7,0,6,961,174,2.65,1.095,6.5,0.4,3.4,10.4,3.08,ASCYA-1MVP-11
1999,36,NYY,AL,14,10,.583,4.60,30,30,0,1,1,0,187.2,185,101,96,20,90,0,163,9,0,8,822,102,4.36,1.465,8.9,1.0,4.3,7.8,1.81,
2000,37,NYY,AL,13,8,.619,3.70,32,32,0,1,0,0,204.1,184,96,84,26,84,0,188,10,1,2,878,131,4.33,1.312,8.1,1.1,3.7,8.3,2.24,CYA-6
2001 ★,38,NYY,AL,20,3,.870,3.51,33,33,0,0,0,0,220.1,205,94,86,19,72,1,213,5,0,14,918,128,3.29,1.257,8.4,0.8,2.9,8.7,2.96,ASCYA-1MVP-8
2002,39,NYY,AL,13,6,.684,4.35,29,29,0,0,0,0,180.0,172,94,87,18,63,6,192,7,0,14,768,102,3.30,1.306,8.6,0.9,3.2,9.6,3.05,
2003 ★,40,NYY,AL,17,9,.654,3.91,33,33,0,1,1,0,211.2,199,99,92,24,58,1,190,5,0,5,878,113,3.60,1.214,8.5,1.0,2.5,8.1,3.28,AS
2004 ★,41,HOU,NL,18,4,.818,2.98,33,33,0,0,0,0,214.1,169,76,71,15,79,5,218,6,0,5,878,145,3.11,1.157,7.1,0.6,3.3,9.2,2.76,ASCYA-1MVP-8
2005 ★,42,HOU,NL,13,8,.619,1.87,32,32,0,1,0,0,211.1,151,51,44,11,62,5,185,3,1,3,838,226,2.87,1.008,6.4,0.5,2.6,7.9,2.98,ASCYA-3MVP-22
2006,43,HOU,NL,7,6,.538,2.30,19,19,0,0,0,0,113.1,89,34,29,7,29,1,102,4,0,3,451,194,3.02,1.041,7.1,0.6,2.3,8.1,3.52,
2007,44,NYY,AL,6,6,.500,4.18,18,17,0,0,0,0,99.0,99,52,46,9,31,0,68,5,0,7,420,108,4.14,1.313,9.0,0.8,2.8,6.2,2.19,
