Player,Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,WAR
Pete_Alexander,1911,24,PHI,NL,28,13,0.683,2.57,48,37,11,31,7,3,367,285,133,105,5,129,,227,8,1,4,1440,133,2.83,1.128,7,0.1,3.2,5.6,1.76,8.4
Pete_Alexander,1912,25,PHI,NL,19,17,0.528,2.81,46,34,10,25,3,3,310.1,289,133,97,11,105,,195,6,0,5,1290,128,3.13,1.27,8.4,0.3,3,5.7,1.86,6.4
Pete_Alexander,1913,26,PHI,NL,22,8,0.733,2.79,47,36,9,23,9,2,306.1,288,106,95,9,75,,159,3,0,3,1234,118,2.66,1.185,8.5,0.3,2.2,4.7,2.12,6.8
Pete_Alexander,1914,27,PHI,NL,27,15,0.643,2.38,46,39,7,32,6,1,355,327,133,94,8,76,,214,11,0,1,1459,123,2.26,1.135,8.3,0.2,1.9,5.4,2.82,8.4
Pete_Alexander,1915,28,PHI,NL,31,10,0.756,1.22,49,42,7,36,12,3,376.1,253,86,51,3,64,,241,10,0,2,1435,225,1.82,0.842,6.1,0.1,1.5,5.8,3.77,10.9
Pete_Alexander,1916,29,PHI,NL,33,12,0.733,1.55,48,45,3,38,16,3,389,323,90,67,6,50,,167,10,0,3,1500,172,2.12,0.959,7.5,0.1,1.2,3.9,3.34,10.6
Pete_Alexander,1917,30,PHI,NL,30,13,0.698,1.83,45,44,0,34,8,0,388,336,107,79,4,56,,200,6,0,1,1529,154,1.84,1.01,7.8,0.1,1.3,4.6,3.57,9.3
Pete_Alexander,1918,31,CHC,NL,2,1,0.667,1.73,3,3,0,3,0,0,26,19,7,5,0,3,,15,1,0,0,98,163,1.54,0.846,6.6,0,1,5.2,5,0.7
Pete_Alexander,1919,32,CHC,NL,16,11,0.593,1.72,30,27,3,20,9,1,235,180,51,45,3,38,,121,0,0,1,906,166,2.11,0.928,6.9,0.1,1.5,4.6,3.18,7.4
Pete_Alexander,1920,33,CHC,NL,27,14,0.659,1.91,46,40,6,33,7,5,363.1,335,96,77,8,69,,173,1,0,3,1447,166,2.66,1.112,8.3,0.2,1.7,4.3,2.51,12.1
Pete_Alexander,1921,34,CHC,NL,15,13,0.536,3.39,31,30,1,20,3,1,252,286,110,95,10,33,,77,1,0,1,1033,113,3.41,1.266,10.2,0.4,1.2,2.8,2.33,4.7
Pete_Alexander,1922,35,CHC,NL,16,13,0.552,3.63,33,31,2,20,1,1,245.2,283,111,99,8,34,,48,3,0,4,1014,115,3.49,1.29,10.4,0.3,1.2,1.8,1.41,4.6
Pete_Alexander,1923,36,CHC,NL,22,12,0.647,3.19,39,36,2,26,3,2,305,308,128,108,17,30,,72,0,0,2,1246,125,3.48,1.108,9.1,0.5,0.9,2.1,2.4,5.2
Pete_Alexander,1924,37,CHC,NL,12,5,0.706,3.03,21,20,0,12,0,0,169.1,183,82,57,9,25,,33,1,0,1,708,128,3.8,1.228,9.7,0.5,1.3,1.8,1.32,2.1
Pete_Alexander,1925,38,CHC,NL,15,11,0.577,3.39,32,30,1,20,1,0,236,270,106,89,15,29,,63,3,0,1,977,128,3.81,1.267,10.3,0.6,1.1,2.4,2.17,4.6
Pete_Alexander,1926,39,"CHC,STL",NL,12,10,0.545,3.05,30,23,7,15,2,2,200.1,191,83,68,8,31,,47,2,0,0,815,128,3.46,1.108,8.6,0.4,1.4,2.1,1.52,3.2
Pete_Alexander,1927,40,STL,NL,21,10,0.677,2.52,37,30,5,22,2,3,268,261,94,75,11,38,,48,1,0,1,1082,160,3.64,1.116,8.8,0.4,1.3,1.6,1.26,6.1
Pete_Alexander,1928,41,STL,NL,16,9,0.64,3.36,34,31,2,18,1,2,243.2,262,107,91,15,37,,59,2,0,3,1009,120,3.7,1.227,9.7,0.6,1.4,2.2,1.59,3.4
Pete_Alexander,1929,42,STL,NL,9,8,0.529,3.89,22,19,3,8,0,0,132,149,65,57,10,23,,33,1,0,2,562,123,4.19,1.303,10.2,0.7,1.6,2.3,1.43,2.5
Pete_Alexander,1930,43,PHI,NL,0,3,0,9.14,9,3,2,0,0,0,21.2,40,24,22,5,6,,6,0,0,0,109,61,6.78,2.123,16.6,2.1,2.5,2.5,1,-0.5
